Question,Difficulty,Option 1,Option 2,Option 3,Option 4,Correct Answer,Selected
What does PAYE stand for?,Easy,Pay As You Earn,Personal Annual Yield,Private Annual Expense,Paid Annual Yield,Pay As You Earn,0
What is PRSI?,Easy,Pay Related Social Insurance,Personal Retirement Savings Income,Public Revenue Service Ireland,Private Retirement Savings Insurance,Pay Related Social Insurance,0
What is USC in Ireland?,Easy,Universal Social Charge,United Savings Contribution,Union Salary Contribution,Unemployment Support Charge,Universal Social Charge,0
Which of these affects your take-home pay?,Easy,Income Tax,Weather,Favorite Sport,Height,Income Tax,0
What is the standard tax rate in Ireland for most income?,Easy,20%,10%,30%,25%,20%,0
Which of these is a tax credit?,Easy,Single Person Tax Credit,Car Tax,Property Tax,TV License,Single Person Tax Credit,0
Which payslip item shows gross pay?,Easy,Gross Pay,Net Pay,Deductions,USC,Gross Pay,0
What is net pay?,Easy,Money after deductions,Money before tax,Total expenses,Pension contribution,Money after deductions,0
Which age group can claim the Jobseeker's Benefit?,Easy,Young adults,Retired people,Children under 18,All adults,Young adults,0
What does the term 'allowance' usually refer to in tax?,Easy,Amount you can earn without tax,Monthly pocket money,Government loan,Salary bonus,Amount you can earn without tax,0
Which of these is a mandatory deduction from salary?,Easy,PAYE,Netflix subscription,Gym membership,Phone bill,PAYE,0
What is the main purpose of PRSI?,Easy,Contribute to social insurance benefits,Buy groceries,Pay for education,Save for retirement,Contribute to social insurance benefits,0
Which of these affects how much USC you pay?,Easy,Income level,Height,Favorite color,Age,Income level,0
How often do most people get paid in Ireland?,Easy,Weekly or monthly,Daily,Quarterly,Yearly,Weekly or monthly,0
What does 'gross income' mean?,Easy,Income before any deductions,Income after taxes,Savings in the bank,Bonus from work,Income before any deductions,0
Which of these is NOT a deduction on a payslip?,Easy,Netflix subscription,PAYE,PRSI,USC,Netflix subscription,0
Which type of tax do you pay on your salary?,Easy,Income Tax,Car Tax,VAT,Council Tax,Income Tax,0
What is a common way to manage spending?,Easy,Budgeting,Ignoring bills,Borrowing randomly,Gambling,Budgeting,0
Which of these is an example of discretionary spending?,Easy,Eating out,Rent,Taxes,Utilities,Eating out,0
What does 'tax credit' do?,Easy,Reduces tax you owe,Increases tax you pay,Is a bonus payment,Pays your rent,Reduces tax you owe,0
Which of these counts as income?,Easy,Salary,Birthday gifts,Pocket money from parents,Discount vouchers,Salary,0
Which of these would reduce your net pay?,Easy,Higher income tax,Winning lottery,Selling old items,Receiving a gift,Higher income tax,0
Which of these is a fixed monthly cost?,Easy,Rent,Eating out,Movie tickets,Clothes shopping,Rent,0
Which government department handles income tax in Ireland?,Easy,Revenue,Transport,Health,Education,Revenue,0
Why is it important to check your payslip?,Easy,To make sure deductions are correct,To choose your favorite color,To plan holidays,To pick a TV show,To make sure deductions are correct,0
What is a PAYE tax credit for?,Easy,Reducing income tax owed,Buying a car,Paying rent,Funding TV license,Reducing income tax owed,0
Who collects income tax in Ireland?,Easy,Revenue,Banks,Schools,Local councils,Revenue,0
Which of these is considered essential spending?,Easy,Rent,Concert tickets,Video games,Candy,Rent,0
What happens if you earn below your tax credits and allowance?,Easy,You pay no income tax,You pay extra tax,You get fined,You owe USC only,You pay no income tax,0
Which of these is a type of social welfare payment?,Easy,Jobseeker's Allowance,Netflix voucher,Movie tickets,Gym membership,Jobseeker's Allowance,0
Which of these affects the amount of PAYE you pay?,Easy,Income level,Hair color,Favorite sport,Shoe size,Income level,0
Which of these reduces net income?,Easy,Taxes,Salary increases,Birthday gifts,Lottery winnings,Taxes,0
What is the maximum rate of USC for high earners?,Easy,11%,5%,2%,20%,11%,0
What is PRSI used for?,Easy,Social welfare benefits,Buying a car,Paying rent,Saving for holidays,Social welfare benefits,0
What is the difference between gross pay and net pay?,Easy,Deductions,Income type,Tax credit,Allowance,Deductions,0
What is the primary purpose of income tax?,Easy,Fund public services,Buy clothes,Pay Netflix subscription,Save for holidays,Fund public services,0
Which of these is a government allowance?,Easy,Earned Income Tax Credit,Gym membership,Concert tickets,Birthday gifts,Earned Income Tax Credit,0
Which of these affects how much PRSI you pay?,Easy,Salary level,Eye color,Favorite food,Clothing size,Salary level,0
Which of these is NOT income?,Easy,Gift from a friend,Salary,Bonus,Freelance work,Gift from a friend,0
Which of these is an example of fixed expenditure?,Easy,Rent,Eating out,Movies,Clothes,Rent,0
Which of these is a tax on income?,Easy,Income Tax,Car tax,VAT,Property tax,Income Tax,0
Which of these is discretionary income?,Easy,Money left after essentials,Money for rent,Money for utilities,Money for taxes,Money left after essentials,0
Why is it important to know your tax credits?,Easy,To reduce taxes owed,To spend more money,To get a loan,To increase expenses,To reduce taxes owed,0
What does 'mandatory deductions' include?,Easy,"PAYE, USC, PRSI","Netflix, Spotify","Rent, groceries","Clothes, games","PAYE, USC, PRSI",0
What does USC stand for?,Easy,Universal Social Charge,United Social Contribution,Unique Salary Charge,Union Service Contribution,Universal Social Charge,0
Which of these is a tax-free allowance?,Easy,Standard rate cut-off point,Netflix subscription,Movie tickets,Gym membership,Standard rate cut-off point,0
Which of these is part of a monthly budget?,Easy,Rent,Concert ticket,Video games,Candy,Rent,0
Why should young people check their payslip?,Easy,To confirm correct deductions,To pick favorite songs,To plan holidays,To select clothing,To confirm correct deductions,0
What is the purpose of a tax credit?,Easy,Reduce tax owed,Increase rent,Increase bills,Buy food,Reduce tax owed,0
Which of these is an example of irregular spending?,Easy,Eating out,Rent,Electricity,Groceries,Eating out,0
Which of these is essential for living?,Easy,Rent,Concert tickets,Video games,Candy,Rent,0
What does net income mean?,Easy,Income after deductions,Income before deductions,Income from lottery,Gift money,Income after deductions,0
Which of these affects PAYE?,Easy,Salary,Favorite color,Height,Shoe size,Salary,0
Which of these is discretionary?,Easy,Eating out,Rent,Taxes,Utilities,Eating out,0
Which of these is a social insurance?,Easy,PRSI,Netflix,Gym,Candy,PRSI,0
Which of these is included in a budget?,Easy,Rent,Lottery tickets,Candy,Concerts,Rent,0
What is the effect of higher income tax?,Easy,Reduces net pay,Increases net pay,No effect,Gives bonus,Reduces net pay,0
Which of these is a government deduction?,Easy,PAYE,Netflix,Video games,Candy,PAYE,0
Which of these is a tax charge?,Easy,USC,Birthday gift,Lottery prize,Concert ticket,USC,0
Which of these is a credit against tax?,Easy,Single Person Tax Credit,Concert ticket,Gym,Candy,Single Person Tax Credit,0
Which of these can reduce your taxable income?,Easy,Pension contribution,Lottery ticket,Concert ticket,Candy,Pension contribution,0
Which of these shows money you take home?,Easy,Net Pay,Gross Pay,PRSI,USC,Net Pay,0
Which of these is part of gross pay?,Easy,Salary,Netflix,Gym,Candy,Salary,0
Which of these is an essential bill?,Easy,Rent,Concert ticket,Candy,Video game,Rent,0
Which of these is discretionary?,Easy,Eating out,Rent,Taxes,Utilities,Eating out,0
Which of these reduces net pay?,Easy,Income Tax,Lottery,Gift,Bonus,Income Tax,0
Which of these is fixed spending?,Easy,Rent,Candy,Eating out,Concert ticket,Rent,0
Which of these is a deduction?,Easy,PAYE,Candy,Video game,Concert ticket,PAYE,0
Which of these is a social insurance deduction?,Easy,PRSI,Candy,Gym,"Concert 
ticket",PRSI,0
Which of these is a tax charge?,Easy,USC,Candy,Netflix,Video game,USC,0
Question,Difficulty,Option 1,Option 2,Option 3,Option 4,Correct Answer,Selected
What is the PAYE rate for income above the standard rate band?,Medium,40%,20%,30%,15%,40%,0
"If you earn €35,000 a year, which tax applies first?",Medium,PAYE,USC,PRSI,VAT,PAYE,0
How is net pay calculated?,Medium,Gross pay minus deductions,Gross pay plus tax,Net pay plus bonus,Gross pay only,Gross pay minus deductions,0
"If your gross monthly salary is €2,500 and PAYE is €500, what is your net pay?",Medium,"€2,000","€2,500","€1,500","€2,100","€2,000",0
"If PRSI is 4% of your €2,000 gross pay, how much do you pay?",Medium,€80,€40,€100,€50,€80,0
What happens if you forget to claim a tax credit?,Medium,You pay more tax,You get extra pay,Nothing happens,You owe PRSI,You pay more tax,0
Which of these reduces taxable income?,Medium,Pension contribution,Groceries,Gym,Cinema tickets,Pension contribution,0
"If USC is 2% on first €12,000 income, how much is owed on €10,000?",Medium,€200,€100,€400,€150,€200,0
What is the effect of exceeding the standard rate band?,Medium,Income above band is taxed at 40%,Income above band is tax-free,USC increases only,PRSI decreases,Income above band is taxed at 40%,0
"If a student works part-time and earns €12,000/year, which applies?",Medium,Standard rate PAYE and USC,High rate PAYE only,PRSI only,VAT on income,Standard rate PAYE and USC,0
Which of these affects net take-home pay?,Medium,"Tax credits, deductions, USC, PRSI",Eye color,Height,Favorite color,"Tax credits, deductions, USC, PRSI",0
"If your monthly gross pay is €1,800, PAYE €270, PRSI €72, USC €54, what is net pay?",Medium,"€1,404","€1,800","€1,500","€1,350","€1,404",0
Which is the correct order of deduction from gross pay?,Medium,"PAYE, PRSI, USC","PRSI, PAYE, USC","USC, PAYE, PRSI","PRSI, USC, PAYE","PAYE, PRSI, USC",0
How does claiming the Single Person Tax Credit affect net pay?,Medium,Increases it,Decreases it,No effect,Reduces PRSI,Increases it,0
"What happens if you earn €18,000 but have €3,300 in tax credits?",Medium,You pay no PAYE,You pay full PAYE,You pay double tax,USC is waived,You pay no PAYE,0
"If gross pay is €2,000, tax credits €330, PAYE €400, net pay is?",Medium,"€1,600","€1,670","€1,500","€1,550","€1,670",0
"If PRSI is 4% and USC 2%, total deductions on €2,000 gross are?",Medium,€120,€100,€80,€150,€120,0
Which of these affects your PAYE?,Medium,Gross salary,Favorite hobby,Height,Hair color,Gross salary,0
"If a young person earns €10,000/year, how much USC at 0.5% applies?",Medium,€50,€100,€25,€75,€50,0
Which of these is true about tax credits?,Medium,Reduce income tax owed,Increase PRSI,Increase USC,Increase gross pay,Reduce income tax owed,0
How does working more hours affect PAYE?,Medium,"Gross pay increases, PAYE increases",Gross pay decreases,No effect,USC decreases,"Gross pay increases, PAYE increases",0
"If a part-time worker earns €12,000, standard rate band €36,800, tax credit €1,700, PAYE owed?",Medium,€700,"€1,000",€500,"€1,500",€700,0
"How much tax is saved by €1,700 single person tax credit at 20% rate?",Medium,€340,€170,€200,€400,€340,0
"If gross pay €3,000, deductions €600, net pay?",Medium,"€2,400","€2,000","€2,500","€2,300","€2,400",0
Which of these is mandatory for employees?,Medium,PAYE,Netflix,Concert tickets,Candy,PAYE,0
"If student allowance is €3,000 and PAYE owed €500, how much received?",Medium,"€2,500","€3,000","€2,800","€2,400","€2,500",0
Which of these reduces PAYE owed?,Medium,Tax credits,Extra work hours,Lottery winnings,Birthday gifts,Tax credits,0
"If standard rate cut-off is €36,800, income €40,000, how taxed?",Medium,"€36,800 at 20%, remainder at 40%",All at 20%,All at 40%,"Only €40,000 at 20%","€36,800 at 20%, remainder at 40%",0
Which of these is discretionary spending?,Medium,Eating out,Rent,Utilities,Groceries,Eating out,0
"If gross pay €2,500, PAYE €500, PRSI €100, USC €50, net pay?",Medium,"€1,850","€2,000","€1,900","€1,750","€1,850",0
Which of these increases net pay?,Medium,Higher tax credits,Higher PAYE,Higher USC,More deductions,Higher tax credits,0
Which affects PRSI deduction?,Medium,Income level,Favorite food,Shoe size,Hobby,Income level,0
Which of these is considered essential spending?,Medium,Rent,Concerts,Video games,Candy,Rent,0
"If gross €3,200, PAYE €640, PRSI €128, USC €96, net pay?",Medium,"€2,336","€2,500","€2,400","€2,300","€2,336",0
Which of these affects USC rate?,Medium,Income level,Color of clothes,Height,Hobby,Income level,0
"If someone earns €60,000, which PAYE applies on top of standard rate band?",Medium,40%,20%,30%,10%,40%,0
Which of these is a tax deduction that reduces taxable income?,Medium,Pension contribution,Netflix,Eating out,Candy,Pension contribution,0
"If net pay €1,800, deductions €300, gross pay?",Medium,"€2,100","€2,000","€1,900","€2,200","€2,100",0
Which of these is an irregular expense?,Medium,Birthday gift,Rent,Utilities,Groceries,Birthday gift,0
"If gross €2,200, PAYE €440, PRSI €88, USC €66, net pay?",Medium,"€1,606","€1,700","€1,650","€1,600","€1,606",0
How does exceeding standard rate band affect tax?,Medium,Part of income taxed at 40%,No effect,PRSI reduces,USC reduces,Part of income taxed at 40%,0
Which of these is a mandatory payroll deduction?,Medium,PAYE,Movie tickets,Candy,Gym,PAYE,0
"If gross €1,800, tax credits €330, PAYE €360, net pay?",Medium,"€1,470","€1,500","€1,400","€1,450","€1,470",0
Which of these is a fixed essential cost?,Medium,Rent,Eating out,Concert,Candy,Rent,0
"If PRSI 4%, USC 2%, gross €2,000, total deductions?",Medium,€120,€100,€80,€150,€120,0
How does claiming tax credits affect PAYE?,Medium,Reduces tax owed,Increases tax owed,No effect,Increases PRSI,Reduces tax owed,0
"If student works part-time €10,000/year, PAYE €500, net pay?",Medium,"€9,500","€10,000","€9,600","€9,400","€9,500",0
"If gross €3,000, deductions €600, what is net pay?",Medium,"€2,400","€2,500","€2,300","€2,350","€2,400",0
Which of these affects take-home pay?,Medium,Tax credits and deductions,Favorite hobby,Shoe size,Hair color,Tax credits and deductions,0
Which of these increases net pay?,Medium,Claiming tax credits,Higher PAYE,Higher USC,More deductions,Claiming tax credits,0
"If standard rate €36,800, income €50,000, tax on excess €13,200 at?",Medium,40%,20%,30%,10%,40%,0
Which of these is discretionary spending?,Medium,Eating out,Rent,Groceries,Utilities,Eating out,0
"If gross €2,500, PAYE €500, PRSI €100, USC €50, net pay?",Medium,"€1,850","€2,000","€1,900","€1,750","€1,850",0
Which of these affects PRSI deduction?,Medium,Income level,Shoe size,Color of hair,Hobby,Income level,0
Which of these affects USC?,Medium,Income level,Hair color,Eye color,Favorite hobby,Income level,0
"If gross €4,000, standard rate band €36,800, PAYE on excess €3,200 at 40%?",Medium,"€1,280",€800,"€1,000","€1,200","€1,280",0
Which of these reduces taxable income?,Medium,Pension contribution,Lottery ticket,Concert ticket,Birthday gift,Pension contribution,0
"If gross €2,000, deductions €400, net pay?",Medium,"€1,600","€1,500","€1,550","€1,650","€1,600",0
Which of these is a fixed essential expense?,Medium,Rent,Concert,Video games,Candy,Rent,0
Which of these increases net pay?,Medium,Claiming tax credits,More PAYE,More USC,Higher deductions,Claiming tax credits,0
"If gross €3,200, PAYE €640, PRSI €128, USC €96, net pay?",Medium,"€2,336","€2,400","€2,300","€2,350","€2,336",0
Which of these affects net pay?,Medium,Deductions and tax credits,Shoe size,Hair color,Favorite hobby,Deductions and tax credits,0
Which of these is irregular spending?,Medium,Eating out,Rent,Utilities,Groceries,Eating out,0
Question,Difficulty,Option 1,Option 2,Option 3,Option 4,Correct Answer,Selected
"If someone earns €55,000, standard rate band €36,800, what is total PAYE at 20% and 40%?",Hard,"€36,800*20% + €18,200*40%","€55,000*20%","€55,000*40%","€36,800*40% + €18,200*20%","€36,800*20% + €18,200*40%",0
"If a person has tax credits €3,300 and gross pay €50,000, what is their PAYE?",Hard,"€50,000 taxable minus €3,300 credits","€50,000 minus €1,700","€50,000 minus €5,000","€50,000 without deduction","€50,000 taxable minus €3,300 credits",0
"If USC rates: 0.5% first €12,012, 2% next €8,675, calculate USC on €20,000.",Hard,€60 + €173.50 = €233.50,€200,€150,€300,€60 + €173.50 = €233.50,0
"If PRSI is 4%, USC 2%, gross €3,000, PAYE €600, net pay?",Hard,"€3,000-€600-€120-€60=€2,220","€2,300","€2,400","€2,200","€3,000-€600-€120-€60=€2,220",0
How does splitting income between two people affect PAYE?,Hard,Both may pay lower tax if below standard rate band,No effect,Both pay more,Only one pays,Both may pay lower tax if below standard rate band,0
"If student earns €15,000, claims tax credit €1,700, what is PAYE at 20%?",Hard,"€15,000*20%-€1,700=€1,300","€15,000*20%=€3,000","€15,000-€1,700","€15,000*40%-€1,700","€15,000*20%-€1,700=€1,300",0
"If someone earns €70,000, standard rate band €36,800, how much at 40%?",Hard,"€33,200*40%=€13,280","€70,000*40%","€36,800*40%","€50,000*40%","€33,200*40%=€13,280",0
Which tax credit combination maximizes net pay for a young single worker?,Hard,"Single person €1,700 + PAYE credit €330",Married credit,No credit,Only PRSI,"Single person €1,700 + PAYE credit €330",0
"If gross €2,500, deductions €600, discretionary spending €300, net savings?",Hard,"€1,600","€1,900","€1,500","€1,400","€1,600",0
"If student allowance €3,000, expenses €1,500, tax €200, net left?",Hard,"€1,300","€1,500","€1,200","€1,000","€1,300",0
"If gross €60,000, PAYE €14,760, PRSI €2,400, USC €1,500, net pay?",Hard,"€41,340","€42,000","€40,000","€43,000","€41,340",0
How does claiming pension contribution reduce PAYE?,Hard,Reduces taxable income,No effect,Increases USC,Increases PRSI,Reduces taxable income,0
"If student earns €25,000, standard rate €36,800, PAYE 20%, tax credits €1,700, net pay?",Hard,"€25,000-€5,000?","€23,300","€24,000","€22,000","€23,300",0
"If USC applies: 0.5% first €12,012, 2% next €8,675, 4.5% remainder €20,000, how much?",Hard,€60+€173.50+€0=€233.50,€200,€250,€300,€60+€173.50+€0=€233.50,0
Which sequence best calculates net pay?,Hard,Gross - deductions - PRSI - USC,Gross + deductions,Gross + tax,Gross - USC only,Gross - deductions - PRSI - USC,0
"If gross €4,000, PAYE €800, PRSI 4%, USC 2%, calculate net pay.",Hard,"€4,000-€800-€160-€80=€2,960","€3,000","€2,900","€3,100","€4,000-€800-€160-€80=€2,960",0
How do PAYE and tax credits interact?,Hard,Credits reduce PAYE owed,Credits increase PAYE,Credits reduce PRSI,Credits increase gross pay,Credits reduce PAYE owed,0
"If gross €45,000, standard rate €36,800, calculate high-rate PAYE.",Hard,"€8,200*40%=€3,280","€45,000*40%","€36,800*40%","€50,000*40%","€8,200*40%=€3,280",0
"If student earns €18,000, tax credits €1,700, PAYE at 20%, net pay?",Hard,"€18,000*20%-€1,700=€1,900?","€18,000","€16,000","€17,000","€18,000*20%-€1,700=€1,900?",0
"If gross €2,800, deductions €560, discretionary savings €400, net left?",Hard,"€1,840","€2,000","€1,900","€1,800","€1,840",0
How does exceeding standard rate band affect PAYE for high earners?,Hard,Part taxed at 40%,All taxed at 20%,All taxed at 40%,PRSI doubles,Part taxed at 40%,0
"If gross €50,000, tax credits €3,300, PAYE standard & higher, calculate net pay approximately.",Hard,"€50,000-€14,680-€2,000=€33,320","€35,000","€32,000","€34,000","€50,000-€14,680-€2,000=€33,320",0
